43432,"Babyfood, dinner, macaroni, beef and tomato sauce, toddler",81,4.34,11.53
3279,"Babyfood, dinner, mixed vegetable, junior",34,1.01,7.88
3278,"Babyfood, dinner, mixed vegetable, strained",41,1.2,9.5
3077,"Babyfood, dinner, pasta with vegetables",60,1.7,8.4
3304,"Babyfood, dinner, potatoes with cheese and ham, toddler",78,3.5,11.97
3050,"Babyfood, dinner, spaghetti and tomato and meat, junior",68,2.57,11.42
3051,"Babyfood, dinner, spaghetti and tomato and meat, toddler",75,5.3,10.8
3303,"Babyfood, dinner, sweet potatoes and chicken, strained",74,2.51,11.04
3083,"Babyfood, dinner, turkey and rice, junior",56,2.37,9.57
3082,"Babyfood, dinner, turkey and rice, strained",52,2.27,7.94
3296,"Babyfood, dinner, turkey, rice, and vegetables, toddler",60,3.8,7.5
3059,"Babyfood, dinner, vegetables and bacon, strained",69,1.92,8.81
3054,"Babyfood, dinner, vegetables and beef, junior",77,2.21,8.84
3053,"Babyfood, dinner, vegetables and beef, strained",77,2.21,8.84
3274,"Babyfood, dinner, vegetables and chicken, junior",53,2.04,8.66
3042,"Babyfood, dinner, vegetables and dumplings and beef, junior",48,2.1,8
3041,"Babyfood, dinner, vegetables and dumplings and beef, strained",48,2,7.7
3062,"Babyfood, dinner, vegetables and ham, junior",60,2.02,8.64
3061,"Babyfood, dinner, vegetables and ham, strained",59,2.19,7.8
3067,"Babyfood, dinner, vegetables and lamb, junior",51,2.1,7.1
3066,"Babyfood, dinner, vegetables and lamb, strained",52,2,6.9
3081,"Babyfood, dinner, vegetables and noodles and turkey, junior",52,1.8,7.6
3079,"Babyfood, dinner, vegetables and noodles and turkey, strained",44,1.2,6.8
3085,"Babyfood, dinner, vegetables and turkey, junior",53,1.72,7.55
3084,"Babyfood, dinner, vegetables and turkey, strained",48,2.32,7.62
3073,"Babyfood, dinner, vegetables chicken, strained",59,2.47,8.42
3076,"Babyfood, dinner, vegetables, noodles and chicken, junior",64,1.7,9.1
3075,"Babyfood, dinner, vegetables, noodles and chicken, strained",63,2,7.9
33879,"Babyfood, finger snacks, GERBER, GRADUATES, LIL CRUNCHIES - MILD CHEDDAR",513,8.26,57.61
3964,"Babyfood, fortified cereal bar, fruit filling",344,5.43,68.63
3154,"Babyfood, fruit and vegetable, apple and sweet potato",64,0.3,15.3
